DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201414032,07/19/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1200,14,Pacific,1414,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,57,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,LINCOLN                      BL,CALIFORNIA                   AV,33.9981,-118.461
201105163,01/27/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1930,11,Northeast,1176,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 0913,24,M,H,104.0,DRIVEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,2300    BIRKDALE                     ST,,34.0919,-118.2396
211905535,02/14/2021 12:00:00 AM,02/13/2021 12:00:00 AM,1030,19,Mission,1985,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 2000 0913 0444,22,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,8300    VAN NUYS                     BL,,34.2215,-118.4488
220916621,11/27/2022 12:00:00 AM,11/26/2022 12:00:00 AM,1800,9,Van Nuys,919,2,624,BATTERY - SIMPLE ASSAULT,0400 0408,17,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,13600    SHERMAN                      WY,,34.2012,-118.4294
220321602,12/09/2022 12:00:00 AM,12/09/2022 12:00:00 AM,1520,3,Southwest,338,2,624,BATTERY - SIMPLE ASSAULT,2021 1822 0400 0104 1236 0917,24,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2900 S  VERMONT                      AV,,34.0268,-118.2896
202105560,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,130,21,Topanga,2156,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,30,M,W,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,341.0,,,,6200    TOPANGA CANYON               BL,,34.1829,-118.6059
201814268,07/19/2020 12:00:00 AM,07/19/2020 12:00:00 AM,1055,18,Southeast,1823,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,30,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,9700 S  SAN PEDRO                    ST,,33.9474,-118.2695
230111881,05/06/2023 12:00:00 AM,05/06/2023 12:00:00 AM,1230,1,Central,134,1,352,PICKPOCKET,0344 1822,28,M,K,207.0,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,352.0,,,,300 S  BROADWAY,,34.051,-118.248
211913091,09/09/2021 12:00:00 AM,09/08/2021 12:00:00 AM,2000,19,Mission,1962,1,330,BURGLARY FROM VEHICLE,0344 1307,29,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,9500 N  SEPULVEDA                    BL,,34.2428,-118.4674
240609269,05/16/2024 12:00:00 AM,05/15/2024 12:00:00 AM,1443,6,Hollywood,668,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1501,34,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,5600    LEXINGTON                    AV,,34.0928,-118.3109
221218969,09/03/2022 12:00:00 AM,09/03/2022 12:00:00 AM,2210,12,77th Street,1251,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 0416 0446 2033,39,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,3400 W  FLORENCE                     AV,,33.9745,-118.3309
201224617,11/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM,2200,12,77th Street,1241,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740.0,,,,3300    HYDE PARK                    BL,,33.9806,-118.3301
211220494,09/28/2021 12:00:00 AM,09/27/2021 12:00:00 AM,2130,12,77th Street,1205,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,50TH,BRIGHTON,33.9982,-118.3013
240106722,02/07/2024 12:00:00 AM,02/07/2024 12:00:00 AM,1600,1,Central,153,2,888,TRESPASSING,0910 1501,0,X,X,902.0,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888.0,,,,500 S  HILL                         ST,,34.0488,-118.2518
212017236,11/15/2021 12:00:00 AM,10/30/2021 12:00:00 AM,1900,20,Olympic,2088,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0352 1221 1822 2032,52,F,K,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,1700    MAGNOLIA                     AV,,34.0441,-118.2864
210112435,06/25/2021 12:00:00 AM,06/21/2021 12:00:00 AM,400,1,Central,163,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,36,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,700 S  BROADWAY,,34.0444,-118.2541
200218931,12/23/2020 12:00:00 AM,12/23/2020 12:00:00 AM,1830,2,Rampart,261,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0334 0432 2024 1309 0416 0302 1822 0369 0906,32,M,H,108.0,PARKING LOT,102.0,HAND GUN,AA,Adult Arrest,230.0,,,,2400 W  7TH                          ST,,34.058,-118.2803
200104723,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1030,1,Central,122,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,41,M,O,710.0,OTHER PREMISE,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,100 N  HILL                         ST,,34.0572,-118.2481
230213995,07/13/2023 12:00:00 AM,07/13/2023 12:00:00 AM,1410,2,Rampart,246,2,624,BATTERY - SIMPLE ASSAULT,2051 2049 1253 2047 1822 0910,32,F,B,801.0,MTA BUS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,ALVARADO,6TH,34.0595,-118.2749
210111950,06/16/2021 12:00:00 AM,06/16/2021 12:00:00 AM,955,1,Central,111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0377 0344,38,M,B,403.0,DRUG STORE,,,IC,Invest Cont,440.0,,,,500 N  BROADWAY,,34.058,-118.241
201413706,07/13/2020 12:00:00 AM,07/12/2020 12:00:00 AM,344,14,Pacific,1488,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,9600    AIRPORT                      BL,,33.9491,-118.3859
200616333,10/06/2020 12:00:00 AM,10/05/2020 12:00:00 AM,2345,6,Hollywood,626,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0400 0416 1810,29,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212.0,BOTTLE,AO,Adult Other,230.0,,,,2100 N  CAHUENGA                     BL,,34.1091,-118.331
212115413,10/20/2021 12:00:00 AM,10/17/2021 12:00:00 AM,2035,21,Topanga,2158,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,32,M,O,503.0,HOTEL,,,IC,Invest Cont,440.0,,,,6300    CANOGA                       AV,,34.1849,-118.5974
231406170,02/15/2023 12:00:00 AM,02/15/2023 12:00:00 AM,1415,14,Pacific,1494,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329,63,M,H,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,745.0,,,,800    WORLD                        WY,,33.9434,-118.3987
211906113,02/28/2021 12:00:00 AM,02/28/2021 12:00:00 AM,1320,19,Mission,1944,2,888,TRESPASSING,,48,M,O,301.0,GAS STATION,,,IC,Invest Cont,888.0,,,,11200    LAUREL CANYON                BL,,0.0,0.0
240209875,05/16/2024 12:00:00 AM,05/16/2024 12:00:00 AM,510,2,Rampart,265,2,354,THEFT OF IDENTITY,1822 0930,34,X,U,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,700 S  WESTLAKE                     AV,,34.0559,-118.2756
200318804,10/13/2020 12:00:00 AM,10/13/2020 12:00:00 AM,1850,3,Southwest,361,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0305 0408 0416 0448 0913 1402 1814 2000 2002,47,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,3900    GIBRALTAR                    AV,,34.0161,-118.3546
220108112,03/12/2022 12:00:00 AM,03/12/2022 12:00:00 AM,110,1,Central,138,2,624,BATTERY - SIMPLE ASSAULT,1810 0400 0416,26,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,200 S  SAN PEDRO                    ST,,34.0493,-118.2417
211611280,09/07/2021 12:00:00 AM,09/07/2021 12:00:00 AM,200,16,Foothill,1645,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10600    DE HAVEN                     AV,,34.2627,-118.4038
200707804,03/27/2020 12:00:00 AM,02/10/2020 12:00:00 AM,1000,7,Wilshire,759,1,310,BURGLARY,0344,37,M,W,221.0,PUBLIC STORAGE,,,IC,Invest Cont,310.0,,,,4100 W  PICO                         BL,,34.0495,-118.3215
210115814,08/27/2021 12:00:00 AM,08/25/2021 12:00:00 AM,1245,1,Central,128,1,330,BURGLARY FROM VEHICLE,1609 1307 0344 0329,54,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,400 E  2ND                          ST,,34.0498,-118.24
231816159,09/08/2023 12:00:00 AM,09/08/2023 12:00:00 AM,1500,18,Southeast,1832,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,10700 S  BROADWAY,,33.9392,-118.2781
231116413,12/03/2023 12:00:00 AM,12/03/2023 12:00:00 AM,300,11,Northeast,1132,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,50,F,O,101.0,STREET,,,IC,Invest Cont,420.0,,,,WAVERLY,GLENDALE,34.1084,-118.2638
220309565,04/24/2022 12:00:00 AM,04/23/2022 12:00:00 AM,400,3,Southwest,316,1,310,BURGLARY,1822 0344 1251,24,F,V,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,1700 W  ADAMS                        BL,,34.0349,-118.3046
231605144,02/04/2023 12:00:00 AM,02/01/2023 12:00:00 AM,712,16,Foothill,1698,2,354,THEFT OF IDENTITY,1822 0922,51,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8100    DE GARMO                     AV,,34.2174,-118.3561
241804819,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1935,18,Southeast,1826,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329,66,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,1500 E  102ND                        ST,,33.9443,-118.2482
240810638,09/07/2024 12:00:00 AM,09/05/2024 12:00:00 AM,217,8,West LA,841,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1300,22,F,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,1400    BROCKTON                     AV,,34.0433,-118.4629
220609070,04/20/2022 12:00:00 AM,04/20/2022 12:00:00 AM,1150,6,Hollywood,676,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0562 0329 0913 1501,59,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,740.0,,,,5700    CAMERFORD                    AV,,34.0844,-118.3222
221906121,02/23/2022 12:00:00 AM,02/22/2022 12:00:00 AM,1630,19,Mission,1985,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,8300    VAN NUYS                     BL,,34.2215,-118.4488
200510709,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1100,5,Harbor,519,2,901,VIOLATION OF RESTRAINING ORDER,2038 2000 1814,27,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901.0,,,,1400 E  SANDISON                     ST,,0.0,0.0
221114920,10/10/2022 12:00:00 AM,10/06/2022 12:00:00 AM,2300,11,Northeast,1129,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,6500    MERIDIAN                     ST,,34.1202,-118.1766
211821729,12/18/2021 12:00:00 AM,12/18/2021 12:00:00 AM,1530,18,Southeast,1841,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,500 W  109TH                        ST,,33.9374,-118.2832
231411677,06/02/2023 12:00:00 AM,05/31/2023 12:00:00 AM,1200,14,Pacific,1464,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6300    SEAWALK                      DR,,33.9696,-118.4246
220817002,11/16/2022 12:00:00 AM,11/16/2022 12:00:00 AM,2330,8,West LA,858,2,946,OTHER MISCELLANEOUS CRIME,,0,X,X,101.0,STREET,,,IC,Invest Cont,946.0,,,,1600    BUTLER                       AV,,34.0521,-118.3864
220615448,08/31/2022 12:00:00 AM,08/27/2022 12:00:00 AM,600,6,Hollywood,646,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1501 2032,19,M,J,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,1500    CASSIL                       PL,,34.098,-118.3338
212114948,10/08/2021 12:00:00 AM,10/05/2021 12:00:00 AM,700,21,Topanga,2183,1,310,BURGLARY,0344 1606,56,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,22700    AVENUE SAN LUIS,,34.165,-118.6207
231711524,06/14/2023 12:00:00 AM,06/14/2023 12:00:00 AM,1520,17,Devonshire,1747,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1300 1218 1817 0443 0913,55,M,W,701.0,HOSPITAL,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,16900    DEVONSHIRE                   ST,,34.2612,-118.4957
210514700,10/09/2021 12:00:00 AM,10/09/2021 12:00:00 AM,845,5,Harbor,558,2,624,BATTERY - SIMPLE ASSAULT,2004 0416 0913,25,M,H,517.0,MISSIONS/SHELTERS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400 N  BEACON                       ST,,33.746,-118.2804
211209341,03/28/2021 12:00:00 AM,03/28/2021 12:00:00 AM,500,12,77th Street,1243,1,648,ARSON,0329 0345 1822 1300,47,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,648.0,,,,1900 W  65TH                         ST,,33.9806,-118.3112
200415330,11/27/2020 12:00:00 AM,11/26/2020 12:00:00 AM,2100,4,Hollenbeck,449,2,624,BATTERY - SIMPLE ASSAULT,0446 2002 0913,45,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,EVERGREEN,WABASH,34.051,-118.1964
221804707,01/15/2022 12:00:00 AM,01/15/2022 12:00:00 AM,1315,18,Southeast,1826,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0448 2000 0913 1814 1276 0329 1259 0444 0447 0432,17,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,9100    COMPTON                      AV,,33.9543,-118.2475
200606122,02/13/2020 12:00:00 AM,02/03/2020 12:00:00 AM,1400,6,Hollywood,615,1,330,BURGLARY FROM VEHICLE,1300 0358 0344 1609 1822,49,F,W,101.0,STREET,,,AO,Adult Other,330.0,,,,LAKE HOLLYWOOD,MONTLAKE,34.1173,-118.3299
240905478,02/11/2024 12:00:00 AM,02/09/2024 12:00:00 AM,2100,9,Van Nuys,933,1,520,VEHICLE - ATTEMPT STOLEN,1301 1307,35,M,H,101.0,STREET,,,IC,Invest Cont,520.0,,,,6200    CEDROS                       AV,,34.1826,-118.4531
231413650,07/06/2023 12:00:00 AM,07/06/2023 12:00:00 AM,738,14,Pacific,1488,2,624,BATTERY - SIMPLE ASSAULT,0416,62,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8700    BELLANCA                     AV,,33.9586,-118.3805
201106995,03/07/2020 12:00:00 AM,02/21/2020 12:00:00 AM,1,11,Northeast,1177,2,354,THEFT OF IDENTITY,0100 0928 1822,59,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2600    MERCED                       ST,,34.0898,-118.2268
220914776,10/08/2022 12:00:00 AM,10/08/2022 12:00:00 AM,845,9,Van Nuys,909,1,210,ROBBERY,0945 1822 1420 0344 0444,0,X,X,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,7200    WOODMAN                      AV,,34.2012,-118.4312
230607972,03/14/2023 12:00:00 AM,03/13/2023 12:00:00 AM,1330,6,Hollywood,639,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0344 0377 1601 1606,52,M,O,101.0,STREET,,,IC,Invest Cont,331.0,,,,5400    HOLLYWOOD                    BL,,34.1036,-118.3049
221905669,02/12/2022 12:00:00 AM,02/12/2022 12:00:00 AM,1805,19,Mission,1998,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402 0325,0,X,X,702.0,OFFICE BUILDING/OFFICE,,,AA,Adult Arrest,341.0,998.0,,,14300    ARMINTA                      ST,,34.213,-118.4434
240700569,02/13/2024 12:00:00 AM,02/13/2024 12:00:00 AM,1900,7,Wilshire,767,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402 0311,0,X,X,203.0,OTHER BUSINESS,,,AA,Adult Arrest,740.0,998.0,,,1300 S  BRONSON                      AV,,34.0477,-118.3255
202107106,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,19,21,Topanga,2107,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,71,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,740.0,,,,8400    VARIEL                       AV,,34.2222,-118.5929
232115517,10/20/2023 12:00:00 AM,10/20/2023 12:00:00 AM,545,21,Topanga,2107,2,888,TRESPASSING,,27,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,21300    PARTHENIA                    ST,,34.2282,-118.5951
201812346,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1535,18,Southeast,1823,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2000 0329 0913 1814 0416,27,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,745.0,,,,300 E  95TH                         ST,,33.9502,-118.2695
221607247,04/12/2022 12:00:00 AM,04/12/2022 12:00:00 AM,2005,16,Foothill,1677,1,310,BURGLARY,0344 0321,59,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,8300    PETALUMA                     DR,,34.2218,-118.353
200209002,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,930,2,Rampart,275,2,624,BATTERY - SIMPLE ASSAULT,0416 0445 0913 1802 0369,37,M,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1600 W  11TH                         ST,,34.0506,-118.2769
211613296,11/09/2021 12:00:00 AM,08/21/2021 12:00:00 AM,1200,16,Foothill,1637,2,354,THEFT OF IDENTITY,1822 0928,27,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7800    FORSYTHE                     ST,,34.2663,-118.3057
200214363,08/29/2020 12:00:00 AM,08/28/2020 12:00:00 AM,2200,2,Rampart,249,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,1000    INGRAHAM                     ST,,34.0512,-118.2621
230907870,04/07/2023 12:00:00 AM,01/07/2023 12:00:00 AM,1948,9,Van Nuys,904,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0352 1420,21,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,14900    RAYMER                       ST,,34.2131,-118.4584
210705475,02/08/2021 12:00:00 AM,02/08/2021 12:00:00 AM,2215,7,Wilshire,706,1,210,ROBBERY,1822 0334 0344 0342 0213 0216,38,M,B,210.0,RESTAURANT/FAST FOOD,102.0,HAND GUN,IC,Invest Cont,210.0,,,,7000    MELROSE                      AV,,34.0835,-118.3435
242008320,04/16/2024 12:00:00 AM,04/16/2024 12:00:00 AM,330,20,Olympic,2031,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,S  ST ANDREWS                   PL,7TH                          ST,34.0597,-118.3112
200312450,06/08/2020 12:00:00 AM,06/06/2020 12:00:00 AM,2200,3,Southwest,315,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0446,23,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,S  GRAMERCY                     AV,W  ADAMS                        BL,34.0327,-118.3133
230223083,12/23/2023 12:00:00 AM,12/17/2023 12:00:00 AM,1230,2,Rampart,235,2,901,VIOLATION OF RESTRAINING ORDER,2000 2038,26,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901.0,,,,200 S  CARONDELET                   ST,,34.0674,-118.2753
210207682,04/05/2021 12:00:00 AM,04/02/2021 12:00:00 AM,1505,2,Rampart,245,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1822 0917 1212 0302,0,X,X,109.0,PARK/PLAYGROUND,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,231.0,,,,7TH,LAKE,34.057,-118.2779
200406000,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,320,4,Hollenbeck,422,1,320,"BURGLARY, ATTEMPTED",1402 1609,0,X,X,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,AA,Adult Arrest,320.0,998.0,,,2600 N  BROADWAY,,34.0736,-118.2156
221415326,08/16/2022 12:00:00 AM,06/04/2022 12:00:00 AM,1600,14,Pacific,1496,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,9700    AIRPORT                      BL,,33.9472,-118.3909
221312041,05/29/2022 12:00:00 AM,05/29/2022 12:00:00 AM,30,13,Newton,1321,1,330,BURGLARY FROM VEHICLE,0344 1300 1609 1307 0358,54,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,FLOWER,22ND                         ST,34.031,-118.2725
231605367,02/11/2023 12:00:00 AM,02/10/2023 12:00:00 AM,820,16,Foothill,1602,2,903,CONTEMPT OF COURT,2038 2000,28,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,903.0,,,,12800    LOUVRE                       ST,,34.2799,-118.4118
220118555,08/18/2022 12:00:00 AM,08/18/2022 12:00:00 AM,800,1,Central,143,1,330,BURGLARY FROM VEHICLE,1300 0344,20,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,400 S  SPRING                       ST,,34.0488,-118.25
211309606,05/12/2021 12:00:00 AM,05/12/2021 12:00:00 AM,800,13,Newton,1345,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,,0,X,X,710.0,OTHER PREMISE,,,AO,Adult Other,845.0,,,,3400 S  CENTRAL                      AV,,34.0124,-118.2565
231604073,01/03/2023 12:00:00 AM,01/03/2023 12:00:00 AM,1625,16,Foothill,1645,1,761,BRANDISH WEAPON,0913 0334 0562,67,M,B,501.0,SINGLE FAMILY DWELLING,205.0,KITCHEN KNIFE,AA,Adult Arrest,761.0,,,,12500    GARBER                       ST,,34.2665,-118.405
242010940,08/21/2024 12:00:00 AM,08/21/2024 12:00:00 AM,2130,20,Olympic,2069,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 2004 0344 0378,0,X,X,402.0,MARKET,,,IC,Invest Cont,442.0,,,,1000 S  HOOVER                       ST,,34.0499,-118.2879
201309692,04/21/2020 12:00:00 AM,04/21/2020 12:00:00 AM,630,13,Newton,1341,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3700 S  GRAND                        AV,,34.0166,-118.2785
230617087,10/27/2023 12:00:00 AM,10/26/2023 12:00:00 AM,1015,6,Hollywood,632,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0202 0378 1822 0325 0216,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,343.0,,,,7900 W  SUNSET                       BL,,34.0981,-118.3615
222007557,03/23/2022 12:00:00 AM,07/22/2021 12:00:00 AM,600,20,Olympic,2002,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822,26,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,5000    CLINTON                      ST,,34.0817,-118.3112
210904862,01/25/2021 12:00:00 AM,01/25/2021 12:00:00 AM,2051,9,Van Nuys,914,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 0342 1420,32,M,O,406.0,OTHER STORE,,,IC,Invest Cont,442.0,,,,15200    SHERMAN                      WY,,34.2011,-118.4642
200510291,06/06/2020 12:00:00 AM,06/04/2020 12:00:00 AM,1700,5,Harbor,529,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1000 E  I                            ST,,33.7821,-118.2504
232110883,06/24/2023 12:00:00 AM,01/12/2023 12:00:00 AM,1247,21,Topanga,2146,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,41,F,O,102.0,SIDEWALK,,,IC,Invest Cont,440.0,,,,7000    ALABAMA                      AV,,34.1974,-118.599
220209078,04/20/2022 12:00:00 AM,04/19/2022 12:00:00 AM,1400,2,Rampart,235,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,2400    COUNCIL                      ST,,34.0697,-118.273
